weekind,prot,fat,carbs,kcal,runs,gyms,weight_begin,weight_end,week_explicit_name,comment
2,98,79,348,2271,2,0,93.5,93.8,11-17 янв,
3,108,91,325,2398,2,0,94.3,94.1,18-24 янв,
4,99,103,272,2398,1,3,94.1,94.7,25-31 янв,
5,106,97,262,2290,1,1,94.7,94.2,1-7 фев,
6,88,61,236,1770,2,1,94.2,93.1,8-14 фев,
7,92,70,243,2016,2,0,93.1,92.6,15-21 фев,
8,86,81,196,1853,1,1,92.6,93.8,22-28 фев,
9,88,92,223,1962,3,1,93.8,93,1-7 марта,
10,111,65,290,2005,2,1,93,92.4,8-14 марта,
11,94,74,228,1930,3,1,92.4,91.55,15-21 марта,
12,84,70,204,1778,2,1,91.55,91.65,22-28 марта,
13,83,63,213,1725,1,1,91.65,91.9,29 - 4 апреля,
14,83,73,210,1773,2,1,91.9,91.4,5-11 апр,
15,69,72,234,1931,3,1,91.4,90.5,12-18 апр,15 км сам на выхах
16,76,79,175,1738,3,1,90.5,89.3,19-25 апр,
17,78,69,255,1991,2,0,89.3,90,26 апр - 2 мая,
18,74,75,229,1930,2,1,90,90.3,3-9 мая,бег в манеже
19,66,68,247,1912,3,0,90.3,89,10-16 мая,половинка
21,75,75,226,1893,2,0,89,88.5,24-30 мая,перерыв на питер
22,93,103,183,2045,3,2,88.5,89,31-6 июн,
23,80,80,217,1901,3,1,89,88.7,7-13 июн,первая пробежка в лесу
24,86,67,194,1674,0,0,88.7,89,14-20 июн,сломался
25,64,69,184,1493,0,0,89,87.6,21-27 июн,
26,114,74,235,1877,0,0,87.6,87.8,28июн - 4 июл,
27,74,92,214,2039,0,0,87.8,87.1,5-11 июл,
30,84,81,268,2160,1,0,88,88.6,26 июн - 1 авг,вернулись из отпуска
32,89,97,195,2026,1,0,88.6,89.4,9-15 авг,
33,79,76,256,2047,2,2,89.4,90,16-22 авг,возвращение в адидас
34,94,81,261,2091,2,1,90,89.5,23-29 авг,